Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Western Wattlebird,Anthochaera lunulata,NA,NA,
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Spiny-cheeked Honeyeater,Acanthagenys rufogularis,23-26cm,"clear musical notes, but in most passages of song a bubbling character. Common sequences: ""quip-kpeeer, whiteeer, whiteeer"". Also a gurgling, bubbling ""quorrok-quorrok-quorrok-quok"".",
248,"Wattlebirds, Spiny-cheeked and Striped Honeyeaters",Striped Honeyeater,Plectorhyncha lanceolata,22-25cm,"clear, rapid calls, rather more mellow than sharp, with slight variations giving a rollicking rise and fall: ""quirrip-quarreep-quirrip-quarreep-quirrip-quarreep"".",
250,"Friarbirds, Regent Honeyeater",Helmeted Friarbird,Philemon buceroides,32-37cm,"varied; includes harsh cackles, squawks and clanking ""chlank"". Some notes are quite musical, but are usually intermixed wth harsh sounds: ""warruk, kuk-kaowww, warruk-kuk-kaowww""; ""kaowww-kuk, kaowww-kuk""; and other similar variations; also a higher ""kewik, kewik"".",
250,"Friarbirds, Regent Honeyeater",Silver-crowned Friarbird,Philemon argenticeps,28-32cm,"loud, raucous, often rather metallic and clanking; extremely varied, prominent in dawn chorus. Most are typical friarbird noises; characteristic is a loud, rackety raucous ""karrowk-kak-kuk, karrowk-kak-kuk, karrowk-kak-kuk{. Other calls include a ringing, musical ""cherrowik, cherrowik"" and sharp ""aik, aik, aik, aik"".",
250,"Friarbirds, Regent Honeyeater",Noisy Friarbird,Philemon corniculatus,30-35cm,"commonly a deep rollicking, goose-like honking, ""owk-orrok, owk-orrok, arrowk-kok-carrowk, kor-r-r-r-owk"", parts of which can sound like ""tobacco"" or ""four-o'clock"". Also sharp, metallic ""owk!, owk!"".",
250,"Friarbirds, Regent Honeyeater",Little Friarbird,Philemon citreogularis,25-30cm,"varies from clear, musical notes, ""chip-wheeoo"", ""chip-weik-weeoo"" and ""chowk, chowk-ik"", to loud, raucous, unpleasant sounds and quite guttural croaking noises. Often those higher, clear, liquid notes are combined with harsh ""scraarch"" sounds: ""chwip-weik-skrarrrch-weeoo, chwip-weik-skraarrch-weeoo""; a comon sequence is often paraphrased as ""rackety crook-shank"".",
250,"Friarbirds, Regent Honeyeater",Regent Honeyeater,Xanthomyza phrygia,20-23cm,"clear bell-like notes, some quite sharp, other deep, rich, mellow, musical: ""quip-quorrip, quip-kip, quorro-quip""; and sharper ""chlink, chlink"". Some mimicry of other birds. In aggression, makes harsh scolding noises.",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Blue-faced Honeyeater,Entomyzon cyanotis,25-31cm,"noisy, often a loud, raucous, sharp yet husky ""kieeerk, kieeerk""; repetitive, sharp contact calls, ""whik, whik, whik, whik"" and softer ""quorriek, quorriek"". Also a clear, whistled ""quorrieek""; begins low, finishes with loud, high shriek.",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Bell Miner,Manorina melanophrys,18-20cm,"abrupt, clear, penetrating ""peep""; becomes a ""tink"" in the distance. From the hundreds of birds in a large colony, calls make a continual tinkling. Also a harsh ""chak, chak"".","interesting peep becomes tink in distance, then ""tinkling"""
252,"Honeyeaters, Blue-faced to Tawny-breasted",Yellow-throated Miner,Manorina flavigula,26-28cm,"loudest calls are in alarm or aggression; sharp nasal ""kiek-kiek-kierk"", ""kweek-kewk"" or ""kieerk-kieer"". Also softer, plaintive contact ""chwip"" and ""chwiep"".",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Black-eared Miner,Manorina melanotis,26-28cm,"more harsh, complaining than other miners.",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Noisy Miner,Manorina melanocephala,25-28cm,"varied; some calls clear, mellow, quite musical, ""chwip-chwip, chwip-chwip"", but others loud, raucous, complaining, noisy when taken up by others of flock: ""kairkkairk-kairk""; harsher ""karrk-karrk-karrrk"". Territorial call, often given in flight, a muscial ""tiew-tiew-tiew"". In breeding season, a clear musical song in dawn chorus.",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Macleay's Honeyeater,Xanthotis macleayana,19-21cm,"clear, brisk, rather strident ""tsuweit-weet-weet, tsuwei-weet"", undulating, with ""weit"" each time louder, harper, the following ""weet"" lower, softer.",
252,"Honeyeaters, Blue-faced to Tawny-breasted",Tawny-breasted Honeyeater,Xanthotis flaviventer,18-21cm,"series of strong whistles, the first loudest with longer, sharper ending followed by several lower, more abrupt, descending notes: ""WHEEEIT-whit-whut, WHEEEIT-whit-whut""; ""wht-wheeit-whit-wht"".",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Lewin's Honeyeater,Meliphaga lewinii,19-22cm,"usual call sharp, harshly chattered ""chak-ak-ak-ak-ak""; varies from slow, deliberate to rapid, machine-gun rattle; harsh raucous scold: ""kairrk"".",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Yellow-spotted Honeyeater,Meliphaga notata,17-19cm,"loud, staccato ""plizk-plizk-plik-plik-plik-plik""; a plaintive, descending ""kiaak-kiaak-kiaak-kiaak""; harsher, descending ""kriaak-kriaak-kriaak"". ",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Graceful Honeyeater,Meliphaga gracilis,14-17cm,"sharp, abrupt, musical ""tchip"" repeated at intervals of several seconds. Similar, but clear, ringing, much faster ""whit-whit-whit-whit-"" and weaker ""tsip-tsip-tsip"".",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Bridled Honeyeater,Lichenostomus frenatus,19-22cm,"a loud, penetrating, rapid, slightly harsh ""chwip-a-whip, chwip-a-whip"". Also sharp, clear notes of its descending song ring in the rainforest, ""chiep-cheep-chierwiep-chiewr-chiew"". Scolding ""scrartchy-scrartchy"".",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Eungella Honeyeater,Lichenostomus hindwoodi,17-19cm,"extremely high, clear, sharp, almost scratchy, notes often preceded by low, abrupt, ""tchup"" sounds: ""tchup, tchup, chwiep-chiep-cheep-chip-a-wiep"".",
254,"Yellow-faced, Lewin's and Similar Honeyeaters",Yellow-faced Honeyeater,Lichenostomus chrysops,16-18cm,"cheery ringing calls, ""whit, whit, whit"" and ""chwikup, chwikup"", these often combine in brisk, rollicking song: ""WHIT-chiwit-chiwickup, WHITchiwit-chiwickup, WHIT-chiwickup-chiwickup"" with many variations. In flight, flock keeps together with soft ""clip, clip""; at other times use a rather peevish ""kreee"" to maintain contact.",
256,"Honeyeaters, White-lined to Yellow",White-lined Honeyeater,Meliphaga albilineata,19-20cm,"whistled calls, either slightly melancholic or brisk and cheery; sound often amplified by surrounding cliffs: ""tiew, tiew""; twieoo, tioo""; ""whee-a-whit, wheee-a-whit""; ""chwip, chwip""; ""whiew-wirrit-whirroo-wheeit-tiew"".",
256,"Honeyeaters, White-lined to Yellow",White-gaped Honeyeater,Lichenostomus unicolor,19-22cm,"clear, sharp whistle, ""tchiep, tchiep""; slightly husky ""whit""; scratchy, scolding ""tzzeip"". Fast rollicking song, ""tchicka-tchicka-WHEIT-tchicka-tchicka-WHEIT"".",
256,"Honeyeaters, White-lined to Yellow",Singing Honeyeater,Lichenostomus virescens,18-22cm,"typically an abrupt, musical ""prrip, prrip""at intervals of several seconds; faster if agitated, very fast at higher pitch when alarmed, ""prrrrrrrrt"". Song is best in dawn chorus; includes high, clear and deep, mellow notes, varied, ""cheewip-chip-quorricheep-quort-chiwip"".",
256,"Honeyeaters, White-lined to Yellow",Mangrove Honeyeater,Lichenostomus fasciogularis,18-21cm,"first note loud, clear. Following notes mellow, lower, ""CHWIP, chwiew, chwiuw, chwuu"". Repeated rapidly by many birds, becomes distinctive rollicking chorus. Softer ""chwiek, chwouk, chwouk"".",
256,"Honeyeaters, White-lined to Yellow",Varied Honeyeater,Lichenostomus versicolor,18-21cm,"sharp, brisk, cheerful ""whitchu, whitchu"". Also piercing ""tchiew"", often combined with deep, mellow chuckling: ""tchiew, quorrit-you, quorrit-you"".",
256,"Honeyeaters, White-lined to Yellow",White-eared Honeyeater,Lichenostomus leucotis,19-22cm,"deep, mellow but slightly metallic ""chwok, chwok"", ""choku-whit, coku-whit"" and ""kwitchu, kwitchu""; very sharply scratchy, metallic ""chwik!"".",
256,"Honeyeaters, White-lined to Yellow",Yellow Honeyeater,Lichenostomus flavus,17-18cm,"high, yet slightly husky whistle, ""whee-whiew, whee-whiew""; scolding ""chzuk, chzuk, chuk-chuk"".",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Yellow-throated Honeyeater,Lichenostomus flavicollis,18-21cm,"rich, mellow, rhythmic, musical ""whit-chorr, whit-chorr"", ""chorr, chorr-chorr""; slightly higher ""whit-cheo"". Aggressive, rattling, sharper ""chop-chorr-chor-r-r-rr"".",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Yellow-tufted Honeyeater,Lichenostomus melanops,17-23cm,"whistled ""wheit, wheit"" and ""tseit, tseit""; harsher, scolding ""chzeet"". Infrequent whistled song.",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Purple-gaped Honeyeater,Lichenostomus cratitius,16-19cm,"some calls have distinctive, metallic, vibrant quality, especially a ""chairk, chairk, chairk"", but evident in many notes. Also a clear, pleasant ""quitty"" followed by contrasting louder, harsh, peevish calls: ""quitty-quitty-KAIRRK-KAIRRK"". In alarm or aggression, abrupt ""chek-chek-chekchekek"".",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Grey-headed Honeyeater,Lichenostomus keartlandi,15-16cm,"mellow, musical ""ka-towt, ka-towt""; clear, whstled ""whei-wheit-wheit-""; also a harsh, nasal ""kraak""; rapid rattling alarm trill. In flight, ""chek, chek"". ",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Yellow-plumed Honeyeater,Lichenostomus ornatus,15-17cm,"loud, clear, cheery, rollicking calls, ""WHIT-chier, WHITchier"", ""whit-whit-CHIER, whit-whit-CHIER"" and ""CHWIEP-ier, CHWIEP-ier"". Alarm call a loud, high, penetrating, musical trill; carries far through bushland, quickly taken up by others in group. Squabbling, a harsh, hard ""chzak-chzak-chzak"".",
258,"Honeyeaters, Yellow-throated to Grey-fronted",Grey-fronted Honeyeater,Lichenostomus plumulus,15-17cm,"a rapid, mellow, musical ""kwit, kwit-kweeit, kwit-kwit"" and rather peevish ""queeeit-queeit-queeit"". Much sharper, more penetrating, loud, whistled ""peet-peet-peet"". Lower, persistent ""chwok, chwok"".",
260,"Honeyeaters, Fuscous to Brown-backed",Fuscous Honeyeater,Lichenostomus fuscus,15-17cm,"calls include sharp ""twietch"" followed by a rapid, hard rattle, ""twietch-chuka-chuka-chuk-"", and sharp, abrupt ""tchwip, tchwip-tchwip, tchwip"". Songs include a ringing, clear, rhythmic ""teechu, teechu, tichu""; in song flight a faster, lilting, clear ""tichutichu-tichu"". Calls vary regionally.",
260,"Honeyeaters, Fuscous to Brown-backed",Yellow-tinted Honeyeater,Lichenostomus flavescens,15-17cm,"contrasting calls: clear, high, even ""tiew-tiew, tiew-tiew""; harsh, rather raucous complaining ""chaerp, chaerp"". More cheerful, a clear, high, whistled ""whi-whit, whi-whit"" and quick abupt ""quorr-quorr, quorr-quorr-a-whit"".",
260,"Honeyeaters, Fuscous to Brown-backed",White-plumed Honeyeater,Lichenostomus penicillatus,15-17cm,"calls ""whitch-a-whee, whitch-a-whee-hit"", ""whit-a-wheeit, whita-wheeit"". In song flight, clear, musical """"whee-whit-a-wheioo"". In alarm, raucous, nasal ""cak-ak-ak-ak-ak-ark"".",
260,"Honeyeaters, Fuscous to Brown-backed",Green-backed Honeyeater,Glycichaera fallax,11-12cm,"as contact, a high, weak ""piep"". A whistled ""whiet"" is slightly husky yet quite sharp, often in brisk, even bursts of 4 to 10 notes: ""whiet-whiet-whiet-wheit"".",
260,"Honeyeaters, Fuscous to Brown-backed",Brown Honeyeater,Lichmera indistincta,12-16cm,"clear, ringing, musical, usually delivered in erratic bursts, ""whit, whit, whitchit""; hesitant ""whit, whit, whit, quorrit, quit""; vigorous ""quorrit-quorrit-quorrit""; rapidly trilled ""whitchit, whit, whit-whit-witiwitwitwit""; hesitant, disjointed pre-dawn version.",
260,"Honeyeaters, Fuscous to Brown-backed",Brown-backed Honeyeater,Ramsayornis modestus,12-13cm,"in contact a sharp ""chwiet"" and softer ""chwit"" as flight call. Similar scratchy, sharp notes, slightly desending, slowing and fading: ""chwit-chwit-chich-chwich-chwech-chwech"".",
262,"Honeyeaters, Bar-breasted to Tawny-crowned",Bar-breasted Honeyeater,Ramsayornis fasciatus,13-15cm,"sharp, slightly metallic, piercing ""chit-chwit-chwit-chwit""; simialr, faster ""chwee-chwee-chwee"". Also a lower pitch, rather raucous, nasal, rollicking yet brisk, cheerful: ""chawak-chawak-chawakety-chawak-chawakety"".",
262,"Honeyeaters, Bar-breasted to Tawny-crowned",Rufous-banded Honeyeater,Conopophila albogularis,12-13cm,"sharp, piercing, up-slurred ""shrieee"" and ""szieep"". Similar notes of fluctuating strength are run together as an undulating song: ""shrip-shrip-SHRIEEE-shriee-shrip-SZRIEEE-shrip-SHRIEE-szriee"". In disputes, a scolding ""squaak"" or ""scraach"".",
262,"Honeyeaters, Bar-breasted to Tawny-crowned",Rufous-throated Honeyeater,Conopophila rufogularis,13-14cm,"as contact call, a sharp, slightly harsh ""chziep-chziep-chziep"" or ""chzip-chzip-chzip"". Song a fast trill or twittering chatter, quite pleasant rather than harsh or sratchy, ""tzip-tzip-tsip-tip-tip"". Harsh, scolding ""scraak-scraak"".",
262,"Honeyeaters, Bar-breasted to Tawny-crowned",Grey Honeyeater,Conopophila whitei,11-12cm,"piercing, metallic, quick double squeak, ""chirraWIEK-chirraWIEK"" or ""tsi-WIEK-chirraWIEK""; weak, twittering, tinkling song.",
262,"Honeyeaters, Bar-breasted to Tawny-crowned",Tawny-crowned Honeyeater,Phylidonyris melanops,16-18cm,"clear, ringing, flute-like notes with wistful quality that seems appropriate to loneliness of windswept open heathlands. Usual call a high, clear, musical, mellow rather than sharp ""quip-peeer, pieer-pieer-piier"", faster ""quip-pip-pip-pip""; many variations, from softly muted to loudly ringing.",
264,"Honeyeaters, New Holland to White-streaked",New Holland Honeyeater,Phylidonyris novaehollandiae,17-19cm,"abrupt, metallic, piercing ""tjik!"", ""chwik!""; long, whistled ""tseeee"" often in flight. As alarm, loud, piercingly sharp ""chwiep-chwiep-chwiep""; harsh, scolding ""tjuk, tjuk"", slowly or in rapid bursts.",
264,"Honeyeaters, New Holland to White-streaked",White-cheeked Honeyeater,Phylidonyris nigra,16-19cm,"distinctive yapping call: ""chwikup, chwikup""; ""chwipit-chwipit""; ""chakup-chakup-chakup"". Song is a more musical, less sharp ""chwippy-choo, chwippy-choo"" and lilting ""twee-tee, twee-tee, twee-tee"", often given in display song flight when breeding.",
