EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Northern Mockingbird,Mimus polyglottos,Mimidae,Passeriformes,23.5,"Northern Mockingbirds make a harsh, dry  "" chew "" or  "" hew "" when mobbing nest predators or chasing other mockingbirds. Mates exchange a softer version of this call during incubation and nestling periods, or when the female leaves the nest while incubating. Mockingbirds also make a series of 2-8 short, scratchy  "" chat "" calls to warn off intruders. Females make a single  "" chat "" when disturbed. Both male and female mockingbirds sing. They often mimic the sounds of birds (and frogs) around them, including shrikes, blackbirds, orioles, killdeer, jays, hawks, and many others. They go on learning new sounds throughout their lives. The song is a long series of phrases, with each phrase repeated 2-6 times before shifting to a new sound; the songs can go on for 20 seconds or more. Many of the phrases are whistled, but mockingbirds also make sharp rasps, scolds, and trills. Unmated males are the most insistent singers, carrying on late all day and late into the night. Brown Thrashers have a similar song, but the phrases are less varied and most are delivered just 2-3 times. Gray Catbirds can also sound similar, but their phrases are more nasal, hurried, and slurred."
Northern Parula,Setophaga americana,Parulidae,Passeriformes,11.5,"Males and females give a sharp chip during aggressive encounters and while foraging.  Northern Parulas sing 2 different types of songs. The most common is a rising buzzy trill with a final sharp note. This song rises up and pinches off sharply at the end. The second song has distinct pauses in between bouts of the rising buzzy trill. Males are the primary vocalists, but females may occasionally sing. Parulas sing often while hopping between braches in the middle to upper levels of the forest. "
Northern Pintail,Anas acuta,Anatidae,Anseriformes,63.5,"Throughout the year, male Northern Pintails give a short burst that sounds similar to a wheezy trainlike whistle. Females often make a rough stuttering quack similar to a Mallard.  "
Northern Pygmy-Owl,Glaucidium gnoma,Strigidae,Strigiformes,17,"The call is a rapid, high-pitched, short trill that often precedes the song. Song is a series of high, hollow toots spaced 1-2 seconds apart. Males and females sometimes duet, singing simultaneously."
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Hirundinidae,Passeriformes,13.5,"Generally quiet, except during nest building and egg laying, when they give a soft, slightly rising liquid  "" churt "" . Its rarely heard song is faint, gurgling, and hoarse sounding. "
Northern Saw-whet Owl,Aegolius acadicus,Strigidae,Strigiformes,19.5,"Saw-whets give whines, guttural sounds, high  "" tssst "" calls, squeaks, and high-pitched barks. Northern Saw-whet Owls have a distinctive  "" too-too-too "" song, an insistent series of whistled notes on roughly the same pitch, given at a rate of about 2 notes per second. Males calling to advertise their territory can be heard up to half a mile away. Other males respond with a softer, faster, lower version of the song. Females also use a version of the song during courtship."
Northern Shoveler,Spatula clypeata,Anatidae,Anseriformes,47.5,"Males give a wheezy  "" took-took "" during courtship, in flight, and when alarmed. Females make a nasal-sounding quack typically during courtship and throughout the breeding season.   "
Northern Shrike,Lanius borealis,Laniidae,Passeriformes,23.5,"Shrikes call very little on the wintering grounds unless warning or attacking an intruder in the territory: a harsh  "" ack "" (directed at most birds), a whistled  "" breezeek  "" (directed at raptors or other shrikes), or a jaylike  "" jaay "" (directed at mammals). Nesting shrikes are very vocal; they use nasal  "" wake "" and  "" woot "" calls during courtship feeding and when feeding young, as well as a variety of other calls in different contexts. On the breeding grounds, both male and female sing softly, a long, complex, thrasher-like series of phrases. The phrases may be sweet (warbles, whistles, trills) or harsh (buzzes, gargles, screeches, chatters). Most birds include imitations of species that nest in the vicinity. Year round, both sexes also sing a louder, simpler, shorter song in which they sing each phrase twice, very like some thrashers."
Northern Waterthrush,Parkesia noveboracensis,Parulidae,Passeriformes,13,"The most commonly heard call is a loud, metallic  "" chink "" similar to the call of Louisiana Waterthrush but a bit lower in pitch. Courting adults and begging young also give a high-pitched  "" zeez "" call. The primary song is a loud, ringing, three-part  "" sweet sweet sweet swee wee wee chew chew chew chew "" with many minor variations. Breeding males deliver a delightful flight song, especially around dusk, which starts with a fast series of chips and climaxes in a jumbled, rapid mix of song fragments and calls. Some individuals deliver this song while ascending rapidly through the canopy."
Northwestern Crow,Corvus caurinus,Corvidae,Passeriformes,43.2,"The most often-heard call is a nasal  "" craah,  "" lower in pitch than the familiar  "" caw "" of American Crow. The larger male gives a lower-pitched call than the female. Among many other calls are a groan given by females and nestlings receiving food, a mechanical, rattling "" errrrr  "" (similar to other crows), a high-pitched 'falsetto' call, and several other short calls usually heard during the breeding season. "
Nuttall's Woodpecker,Dryobates nuttallii,Picidae,Piciformes,17,"Both sexes commonly give a short and high pitched  "" pit "" to communicate with each other. This short call forms the foundation of two other calls: a double note and a rattle. They give the metallic-sounding double  "" pitit "" note year-round, but more frequently in the winter and spring. The rattle is made up of 14-45  "" pit "" notes strung together and given in rapid succession. They typically rattle from October-May. Nuttall's Woodpeckers also make a harsh shrieking call during courtship that sounds similar to the call of an American Kestrel. "
Oak Titmouse,Baeolophus inornatus,Paridae,Passeriformes,NA,"Males and females are highly vocal, chattering from elevated perches mostly to defend territories from other Oak Titmice. These calls include both high- and low-pitched notes, some shrill and some scratchy. Oak Titmice also make lisping notes during foraging, hissing and puffing sounds to defend the nest, twittering during courtship, and shrill notes when flushed from a roost. Oak Titmice males sing several songs, all involving sharp, robust notes, both high and low, in repeated sequences with a steady tempo. Males sing infrequently in the nonbreeding season, singing more and more as spring approaches. Females are capable of singing but do so only rarely."
Olive Sparrow,Arremonops rufivirgatus,Passerellidae,Passeriformes,14.25,"Both males and females make a metallic call note.  Olive Sparrows sing an accelerating series of chips that sounds like a bouncing ping-pong ball, often with a metallic quality. Sometimes the end of the song drops in pitch, other times the song is evenly pitched. Olive Sparrows typically sing from hidden perches close to the ground, so even singing birds can be hard to locate. They tend to be more vocal from May to June, but in Costa Rica they sing during the wet and dry seasons from March-October. "
Olive Warbler,Peucedramus taeniatus,Peucedramidae,Passeriformes,13.5,"The call is a single high-pitched, hollow-sounding  "" peew "" .  Male and female Olive Warblers sing a burry song of 2 repeated notes on different pitches. Sometimes the first note is lower than the second, but other times it is reversed. The song sounds like a burry  "" tea-cher, tea-cher "" or a  "" we-cha, we-cha "" . They repeat each phrase 3-5 times. "
Olive-sided Flycatcher,Contopus cooperi,Tyrannidae,Passeriformes,19,"The most frequently heard call is a sharp  "" pip "" , usually given three times in quick succession but sometimes 2 or 4 times or in very rapid staccato series or even a twitter, given by both sexes. Males involved in clashes with other males utter growling or gurgling sounds or squeaks. The distinctive whistled song was famously rendered  "" quick "" ,  "" three beers! "" by early field guide authors. Males give this song throughout the breeding season but most consistently and frequently early in the season. Some apparently unmated males give variations on the song, and females also sing occasionally when nesting commences, though their song is not as loud or ringing as the male's. Even fledglings sing weakly at times."
Orange-crowned Warbler,Leiothlypis celata,Parulidae,Passeriformes,12.5,"The Orange-crowned Warbler call is a simple, sharp, high-pitched chip, distinctive from that of other warblers. Males and females give the call when foraging, and females call when flushed from the nest or when the nest is threatened. Male Orange-crowned Warblers sing a trilling song of sweet, clear notes. The song can remain on a single pitch or it can rise slightly in the middle and end on a distinctive rising or falling note— "" chee chee chee chew chew "" . The song pattern varies enough that individual males can be told apart by the version they sing."
